"filename", "language", "JSON", "Markdown", "HTML", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\src\components\NewExpense\NewExpense\NewExpense.css", "CSS", 0, 0, 0, 0, 0, 22, 0, 3, 25
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\src\components\NewExpense\NewExpense\NewExpense.js", "JavaScript", 0, 0, 0, 38, 0, 0, 0, 7, 45
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\src\components\UI\Card\Card.css", "CSS", 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\src\components\UI\Card\Card.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 4, 10
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\src\index.css", "CSS", 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\src\index.js", "JavaScript", 0, 0, 0, 12, 0, 0, 3, 3, 18
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\src\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\Justi\OneDrive\Desktop\Programming\Full Stack Path\Projects\_PORTFOLIO-PROJECTS\budget-app\src\setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 4, 1, 6
"Total", "-", 28681, 42, 20, 418, 1, 300, 49, 152, 29663
